code_ppg,name_ppg,institution_id_openalex,institution_name_acronym,ppg_score
31005012004P9,INFORMÁTICA,I2699952,PUC‐RIO,7.0
42005019016P8,CIÊNCIA DA COMPUTAÇÃO,"I45643870
",PUC/RS,7.0
32001010004P6,CIÊNCIAS DA COMPUTAÇÃO,I110200422,UFMG,7.0
25001019004P6,CIÊNCIAS DA COMPUTAÇÃO,"I25112270
",UFPE,7.0
31001017004P3,"ENGENHARIA DE SISTEMAS E
COMPUTAÇÃO","I122140584
",UFRJ,7.0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,"I181391015
",UNICAMP,7.0
33002045004P1,"CIÊNCIAS DA COMPUTAÇÃO E
MATEMÁTICA COMPUTACIONAL",I17974374,USP/SC,7.0
12001015012P2,INFORMÁTICA,"I62885914
",UFAM,6.0
31003010046P4,COMPUTAÇÃO,"I161127581
",UFF,6.0
40001016034P5,INFORMÁTICA,"I52418104
",UFPR,6.0
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,I17974374,USP,6.0
40003019004P1,Informática,"I176838256
",PUC/PR,5.0
28001010095P3,Ciência da Computação,I126158947,UFBA,5.0
22001018031P5,CIÊNCIAS DA COMPUTAÇÃO,I243754102,UFC,5.0
32007019023P9,Ciência da Computação,I10824318,UFOP,5.0
15001016047P9,CIÊNCIA DA COMPUTAÇÃO,I59606676,UFPA,5.0
42003016038P9,Computação,I169248161,UFPEL,5.0
23001011022P9,SISTEMAS E COMPUTAÇÃO,I35046152,UFRN,5.0
41001010025P2,CIÊNCIAS DA COMPUTAÇÃO,I4104125,UFSC,5.0
33001014008P4,CIÊNCIA DA COMPUTAÇÃO,I177909021,UFSCAR,5.0
32006012017P2,CIÊNCIA DA COMPUTAÇÃO,I80850581,UFU,5.0
53001010054P6,INFORMÁTICA,I150729083,UNB,5.0
42007011006P5,COMPUTAÇÃO APLICADA,I61722147,UNISINOS,5.0
21001014031P2,Ciência da Computação,I3121799822,FUFPI,4.0
42004012022P1,Computação,I126460647,FURG,4.0
22008012004P2,Ciência da Computação,I3018325552,IFCE,4.0
32008015011P7,INFORMÁTICA,I170935008,PUC/MG,4.0
41002016023P2,Computação Aplicada,I164790352,UDESC,4.0
22003010018P1,CIÊNCIA DA COMPUTAÇÃO,I102939073,UECE,4.0
40002012033P5,CIÊNCIA DA COMPUTAÇÃO,I127110123,UEL,4.0
40004015019P5,CIÊNCIA DA COMPUTAÇÃO,I123443094,UEM,4.0
33144010008P1,Ciência da Computação,I71715416,UFABC,4.0
24009016005P0,CIÊNCIA DA COMPUTAÇÃO,I41455075,UFCG,4.0
30001013007P0,INFORMÁTICA,I51235708,UFES,4.0
52001016027P2,CIÊNCIA DA COMPUTAÇÃO,I68106152,UFG,4.0
32005016034P8,Ciência da Computação,I101100930,UFJF,4.0
32004010027P9,Ciência da Computação,I1315085146,UFLA,4.0
20001010022P0,Ciência da Computação,I47327664,UFMA,4.0
20001010049P6*,CIÊNCIA DA COMPUTAÇÃO,I47327664,UFMA,4.0
51001012012P2,CIÊNCIA DA COMPUTAÇÃO,I122558511,UFMS,4.0
51001012028P6*,"CIÊNCIA DA COMPUTAÇÃO ‐ UFMS ‐
UFG",I122558511,UFMS,4.0
24001015047P4,INFORMÁTICA,I169045520,UFPB‐JP,4.0
31001017110P8,INFORMÁTICA,I122140584,UFRJ,4.0
32018010044P4,CIÊNCIA DA COMPUTAÇÃO,I4210130985,UFSJ,4.0
32002017027P2,CIÊNCIA DA COMPUTAÇÃO,I146165071,UFV,4.0
33004153073P2,CIÊNCIA DA COMPUTAÇÃO,I879563668,UNESP‐SJR,4.0
33009015079P0,Ciência da Computação,I88273585,UNIFESP,4.0
22002014002P1,INFORMÁTICA APLICADA,I3125581668,UNIFOR,4.0
31021018009P9,INFORMÁTICA,I83648350,UNIRIO,4.0
41005015010P7,COMPUTAÇÃO,I4210144729,UNIVALI,4.0
25004018011P1,ENGENHARIA DA COMPUTAÇÃO,I71437568,UPE,4.0
33002010214P0,Sistemas de Informação,I17974374,USP,4.0
31022014009P5,CIÊNCIA DA COMPUTAÇÃO,I158509141,CEFET/RJ,3.0
27001016029P4,Ciência da Computação,I190085865,FUFSE,3.0
31007015009P3,SISTEMAS E COMPUTAÇÃO,I41870,IME,3.0
28002016020P6,CIÊNCIA DA COMPUTAÇÃO,I21606457,UEFS,3.0
23002018002P4*,"CIÊNCIA DA COMPUTAÇÃO ‐ UERN ‐
UFERSA",I4210103065,UERN,3.0
11001011072P2,CIÊNCIA DA COMPUTAÇÃO,I1317776637,UFAC,3.0
26001012035P1,Informática,I79889768,UFAL,3.0
28001010061P1*,CIÊNCIA DA COMPUTAÇÃO **,I126158947,UFBA,3.0
22001018173P4,COMPUTAÇÃO,I243754102,UFC,3.0
25003011032P2,Informática Aplicada,I62921916,UFRPE,3.0
33001014044P0,Ciência da Computação,I177909021,UFSCAR,3.0
42002010036P3,Ciência da Computação,I33501960,UFSM,3.0
33149011002P1,Ciência da Computação,,UNIFACCA,3.0
28013018005P5,SISTEMAS E COMPUTAÇÃO,I44314228,UNIFACS,3.0
32003013008P4,"CIÊNCIA E TECNOLOGIA DA
COMPUTAÇÃO",I8165072,UNIFEI,3.0
40015017173P2,CIÊNCIA DA COMPUTAÇÃO,I193876067,UNIOESTE,3.0
33002029052P5,COMPUTAÇÃO APLICADA,I17974374,USP/RP,3.0
40006018171P4,CIÊNCIA DA COMPUTAÇÃO,I1283613182,UTFPR,3.0
42001013004P4,COMPUTAÇÃO,"I130442723
",UFRGS,7.0
,,,,
,,OS NOVOS REGISTROS PRECISAM APENAS DE INSTITUTION_ID E NOME DA INSTITUIÇÃO... OS CAMPOS CÓDIGO DO PROGRAMA E NOTA NÃO SÃO NECESSÁRIOS,,
